Timestamp,Sim Days,Number of Employees,Avg Handle Time,ASR,Avg Customer Interval,Interactions Handled,Utilization
7/7/2023 14:54:48,5,18,9.65,9.64,0.72,427,3.27
7/7/2023 14:54:48,6,18,9.65,9.64,0.7,500,3.83
7/7/2023 14:54:48,7,18,9.65,9.64,0.68,575,4.4
7/7/2023 14:54:48,8,18,9.65,9.64,0.67,652,4.99
7/7/2023 14:54:48,9,18,9.65,9.64,0.7,726,5.56
7/7/2023 14:54:48,10,18,9.65,9.65,0.65,805,6.17
7/7/2023 14:54:48,11,18,9.65,9.65,0.68,880,6.74
7/7/2023 14:54:48,12,18,9.65,9.65,0.7,953,7.3
7/7/2023 14:54:49,13,18,9.65,9.65,0.72,1025,7.85
7/7/2023 14:54:49,14,18,9.65,9.65,0.72,1097,8.4
7/7/2023 14:54:49,15,18,9.65,9.65,0.68,1172,8.98
7/7/2023 14:54:49,16,18,9.65,9.65,0.68,1247,9.55
7/7/2023 14:54:49,17,18,9.65,9.65,0.67,1324,10.14
7/7/2023 14:54:49,18,18,9.65,9.65,0.72,1396,10.69
7/7/2023 14:54:49,19,18,9.65,9.65,0.7,1469,11.25
7/7/2023 14:54:49,20,18,9.65,9.65,0.75,1538,11.78
7/7/2023 14:54:49,21,18,9.65,9.65,0.73,1608,12.32
7/7/2023 14:54:49,22,18,9.65,9.65,0.7,1681,12.87
7/7/2023 14:57:16,0,18,9.6,9.6,14.93,5,0.04
7/7/2023 14:57:16,1,18,9.6,9.59,17.08,9,0.07
7/7/2023 14:57:16,2,18,9.6,9.6,16.45,14,0.11
7/7/2023 14:57:16,3,18,9.6,9.61,17.83,18,0.14
7/7/2023 14:57:16,4,18,9.6,9.6,16.12,23,0.18
7/7/2023 14:57:16,5,18,9.6,9.6,17.35,27,0.21
7/7/2023 14:57:16,6,18,9.6,9.61,16.55,32,0.24
7/7/2023 14:57:16,7,18,9.6,9.6,16.32,37,0.28
7/7/2023 14:57:16,8,18,9.6,9.6,16.42,42,0.32
7/7/2023 14:57:16,9,18,9.6,9.6,16.73,47,0.36
7/7/2023 14:57:16,10,18,9.6,9.59,17.9,51,0.39
7/7/2023 14:57:16,11,18,9.6,9.59,16.23,56,0.43
7/7/2023 14:57:16,12,18,9.6,9.59,16.87,60,0.46
7/7/2023 14:57:16,13,18,9.6,9.6,15.72,65,0.5
7/7/2023 14:57:16,14,18,9.6,9.6,15.9,70,0.53
7/7/2023 14:57:16,15,18,9.6,9.6,17.43,74,0.56
7/7/2023 14:57:16,16,18,9.6,9.6,16.58,79,0.6
7/7/2023 14:57:16,17,18,9.6,9.6,16.53,84,0.64
7/7/2023 14:57:16,18,18,9.6,9.6,18.38,88,0.67
7/7/2023 14:57:16,19,18,9.6,9.6,16.05,93,0.71
7/7/2023 14:57:16,20,18,9.6,9.6,16.53,98,0.75
7/7/2023 14:57:16,21,18,9.6,9.6,16.13,103,0.78
7/7/2023 14:57:16,22,18,9.6,9.6,17.38,107,0.82
